id_audio,texto_transcrito,tempo_segundos
1,crie uma variável chamada prateleiras com valor 6,5.13
2,defina uma variável chamada idade mínima com valor 16,6.14
3,guarde em uma variável chamada passageiros de voo o valor 180,6.63
4,guarde em uma variável chamada páginas livro O valor 320,6.81
5,crie uma variável chamada vagas que armazenam valor 25,6.03
6,defina uma variável chamada graus,4.73
7,crie uma variável chamada idade cachorro,5.25
8,defina uma variável chamada mesas com valor 28,6.23
9,guarde o valor 45 na variável casas,5.70
10,crie uma variável chamada Dias férias com valor 15,5.63
11,crie uma variável chamada altura para armazenar o valor 1.75,8.12
12,defina uma variável chamada preço pizza com o valor 39.90,7.83
13,crie uma variável chamada saldo com valor 1.532.67,9.79
14,crie uma variável chamada aluno com o nome Carla,6.24
15,defina uma variável chamada cidade com a string Belém,7.45
16,defina uma variável chamado cor com valor azul,5.46
17,crie uma variável letra que armazene a,4.84
18,defina uma variável chamada símbolo que armazena arroba,6.24
19,crie uma variável chamado sigla que armazena o valor SP,7.34
20,guarde em uma variável chamado jogo o nome xadrez,6.20
21,crie uma variável chamada lâmpada ligada com o valor verdadeiro,8.40
22,defina uma variável chamada usuário ativo com valor falso,7.46
23,guarde o valor falso em uma variável chamada porta aberta,6.71
24,crie uma variável chamada compra paga com o valor verdadeiro,7.85
25,defina uma variável chamada aprovado com o valor verdadeiro,7.88
26,some o valor 20 e 25 e armazém na variável idade,6.59
27,armazém na variável Total a soma de 12.5 + 8.9,8.71
28,subtraia 32 de 28 e Armazém o resultado na variável temperatura,11.05
29,Guarde a diferença de 2 e 5 variável diferença,7.73
30,multiplique a quantidade 8 de horas,6.57
31,armazém no resultado da multiplicação de 7 e 6 na variável resultado,8.78
32,armazém na variável Média a média entre 7.5 e 8,10.15
33,calcule o quadrado de 5 e armazém na variável quadrado,7.51
34,Armazém o cubo de 3 na variável cubo,6.09
35,some os números 10,4.18
36,crie uma condição que verifique se a variável X é maior que 20 e incremente a variável contador em 1,9.07
37,crie uma condição que verifique se a variável idade é menor que 18 e atribua o texto menor de idade para variável status,10.27
38,crie uma condição que verifique se a variável saldo é igual a 0 e Imprima a mensagem conta zerada,8.84
39,crie uma condição que verifique se a variável temperatura é maior que 30 e defina variável clima como quente,9.14
40,crie uma condição que verifique se a variável número é par e some 1 a variável pares,7.94
41,crie uma condição que verifique se é string casa é igual a moradia e defina a variável sinônimos como verdadeira,10.76
42,crie uma condição que verifique se a string senha é igual a 1234 e incremente a variável acessos,11.51
43,crie uma condição que verifique se a variável altura é maior ou igual a 1.75 e defina a variável aprovado como verdadeira,13.43
44,crie uma condição que verifique se a variável preço é menor que 100 e aplique um desconto de 10 na variável preço,10.92
45,crie uma condição que verifique se a variável nota é maior ou igual a 6 e atribua aprovado a variável situação,12.22
46,crie uma condição que verifique se a variável velocidade é menor que 60 e Imprima a velocidade permitida,8.23
