id_audio,texto_transcrito,tempo_segundos
1,Creio uma variável chamada Prateleiras com o valor 6,2.7118
2,Defina uma variável chamada idade mínima com o valor 16,2.4922
3,Guarda em uma variável chamada passageiros de voo com valor 180,3.0333
4,Guarde em uma variável chamada Paginas Livro o valor 320,3.5045
5,Crio uma variável chamada vagas que armazena o valor 25,2.9907
6,Defina uma variável chamada Graus,2.793
7,Cria uma variável chamada idade cachorro,2.8858
8,Defina uma variável chamada mesas com o valor 28,2.6765
9,Guarde o valor 45 na variável casas,2.9586
10,Cria uma variável chamada dias-férias com valor 15,2.7637
11,Cri uma variável chamada altura para armazenar o valor 1.75,2.9199
12,Defina uma variável chamada preço pizza com o valor 39.90,2.9055
13,Cri uma variável chamada saldo com o valor 1532.67,3.1046
14,Cria uma variável chamada aluno com o nome Carla,3.4761
15,Defina uma variável chamada cidade com a string belay,3.5161
16,Defina uma variável chamado cor com valor azul,3.4511
17,Crio uma variável letra que armazenha,3.7644
18,Defina uma variável chamada símbolo que armazena a rouba,3.4132
19,Crio uma variável chamado sigla que armazena o valor sp,3.8288
20,Guarde em uma variável chamado jogo o nome xadrez,3.2098
21,Cria uma variável chamada Lâmpana ligada com o valor verdadeiro,3.3528
22,Defindo uma variável chamada use o ar ativo com o valor falso,3.2773
23,Guarde o valor falso em uma variável chamada porta aberta,2.7886
24,Cria uma variável chamada compra paga com o valor verdadeiro,2.8148
25,Defina uma variável chamada aprovado com o valor verdadeiro,2.7672
26,Some o valor 20 e 25 e armazém na variável idade,2.5055
27,A Amazênia inavariável total a soma de 12.5 mais 8.9,2.9237
28,Subtraia 32 de 28 e amazenha o resultado na variável Temperatura,2.7854
29,guarde a diferença de 2 e 5 é um variável diferença,2.8701
30,Multiplique a quantidade 8 de horas por 20 dias e armazenho o resultado em cargo-horária,3.2389
31,armazeno resultado da multiplicação de 7 e 6 na variável resultado,2.7856
32,armazenina variável média a média entre 7.5 e 8,3.3163
33,Calcule o quadrado de 5 e armazenhe na variável quadrado,2.6147
34,armazenho o cubo de 3 na variável cubo,2.241
35,Somos números 10 20 30 e armazém na variável total,2.2789
36,Cria uma condição que verifique se a variável x é maior que 20 e incremente a variável contador em 1,2.6475
37,Cri uma condição que verifique se a variável idade é menor que 18 e atribua o texto menor de idade para variável status,2.8326
38,Cri uma condição que verifique se a variável saldo é igual a zero e imprima a mensagem com tazerada,2.8148
39,Cri uma condição que verifique se a variável temperatura é maior que 30 e defina a variável clima como quente,2.7473
40,Cri uma condição que verifique se a variável número é par e some um a variável parif,2.57
41,Cri uma condição que verifique se a string casa é igual à moradia e defina a variável sinônimos como verdadeira,2.8763
42,Cri uma condição que verifique se a string senha é igual a 1 2 3 4 e incremente a variável acessos,2.8287
43,Cri uma condição que verifique se a variável altura é maior ou igual a 1.75. Edefina a variável aprovado como verdadeira,2.965
44,Cri uma condição que verifique se a variável preço é menor que 100 e aplique um desconto de 10 na variável preço,2.8201
45,Cri uma condição que verifique se a variável nota é maior ou igual a 6 e atribua aprovado a variável situação,2.8738
46,Crio uma condição que verifica se a variável velocidade é menor que 60 e imprime a velocidade permitida,2.754
47,Crio uma condição que verifique se a variabilidade é igual a 30 e some 1 à variedade contador,3.6151
48,Cria um bloco senão que escreva condição não satisfeita,3.1931
49,Cria um bloco se não que escreva limite excedido,3.0085
50,Cria um bloco senão que escreva a operação inválida,3.0853
51,Cri um bloco se não que escreva. Loguiem vale,3.049
52,Cri um bloco senão que escreva chave incorreta,3.0043
53,Cri um bloco se não quer escrever. Saldo insuficiente para a saque,3.2494
54,Cria um bloco se não que escreva o zoário não é encontrado,3.0721
55,Cri um bloco ensinando que escreva processo não concluído,3.0909
56,Cri um bloco senão que escreva produto não selecionado,2.9157
57,Cri um bloco senão que escreva operação cancelada,2.9743
58,Cria um bloco senão que escreva Erro de Sistema,3.0644
59,Cri um bloco se não que escreva pagamento pendente,2.9368
60,Mostra a saudação olá mundo!,2.805
61,Exibir a string São Paulo,2.7115
62,Somar 7 3 e exibir o resultado,2.595
63,concatenar as palavras bom e dia e exibir o resultado,2.9584
64,Exibire o resultado da subtração de 25,2.6511
65,Juntar as estrengas de Maria e Silva e mostrar o resultado,2.5473
66,Exibir o resultado da multiplicação de 6 e 7,2.7958
67,Exibir o resultado da divisão de 100 por 4,2.7115
68,Concatenar as stringes Oi e amigo e exibir o resultado,2.961
69,Somar mil com 2500 e exibir o resultado,2.359
70,Exibir a mensagem Atenção Sistema fora do ar,3.0597
71,concatenar as frases como vai tudo bem e mostrar o resultado,2.9108
72,Exibir a soma de 50 e 75,2.6913
73,Exibir a string até logo,2.7105
74,Exibia a diferença entre 90 e 33,2.3036
75,Exibia a multiplicação 12 com 12,2.489
76,com catenara strings João e Souza e exibir o resultado,3.089
77,Exibir o resultado da divisão de 144 por 12,2.8947
78,Exibir o resultado da soma de 3.5 e 4.5,3.0339
79,Exibir a concatenação de Boa e Tarde,2.5371
80,Exibir resultado da subtração de 10.5 por 2.3,2.5056
81,Exibiu o resultado da multiplicação entre 1.5 e 4.0,2.6902
82,Exibiu o resultado da divisão decimal de 7.5 por 2.5,2.6845
83,Exibir o aviso. Eu arquivo não encontrado,2.8583
84,Exibirá a soma de 25 e 5,2.7302
85,Exibir a concatenação das strings RoaA e Nº 10,2.8357
86,Exibir a subtração de 147,2.7107
87,Exibir o resultado de multiplicação de 15 e 3,2.8173
88,Exibir a concatenação das strings ciência e da computação,2.8394
89,Exibia o resultado da divisão de 300 por 3,2.9537
90,Exibir a zona de 200 e 150,2.3702
91,Exibir a concatenação de duas mensagens informativas processando e dados,2.4127
92,Exibir diferença entre 2025 e 1990,2.0609
93,Exibir a multiplicação entre 20 e 30,2.1173
94,Exibir a concatenação entre duas strings muito e bom,2.2152
95,Crio uma condição que verifique se a variável temperatura é maior que 40 e declare como verdadeiro o valor da variável alerta calor,2.9394
96,Crio uma condição que verifique se a variável nota é igual a 10 e atribua para bem a variável mensagem,3.0092
97,Crio uma condição que verifique se a variável velocidade é menor que 30 e mude a variável marcha para 2,3.1775
98,Crio uma condição que verifique se a variável distância é igual a 100 e some 10 a variável pontos,3.2469
99,Cria uma condição que verifique se a variável saldo é menor que 100 e envia um alerta de saldo baixo,3.4803
100,Crio uma condição que verifica a variável número é maior que 50 e divida número por 2,3.0985
