id,prompt,codigo_ref
1,crie uma variável chamada prateleiras com o valor 6,var prateleiras = 6;
2,defina uma variável chamada idade_Minima com o valor 16,var idade_Minima = 16;
3,guarde em uma variável chamada passageiros_de_voo o valor 180,var passageiros_de_voo = 180;
4,guarde em uma variável chamada paginas_livro o valor 320,var paginas_livro = 320;
5,crie uma variável chamada vagas que armazena o valor 25,var vagas = 25;
6,defina uma variável chamada graus,var graus;
7,crie uma variável chamada idadeCachorro,var idadeCachorro;
8,defina uma variável chamada mesas com o valor 28,var mesas = 28;
9,guarde o valor 45 na variável casas,var casas=45;
10,crie uma variável chamada dias_ferias com o valor 15,var dias_ferias = 15;
11,crie uma variável chamada altura para armazenar o valor 1.75,var altura = 1.75;
12,defina uma variável chamada precoPizza com o valor 39.90,var precoPizza = 39.90;
13,crie uma variável chamada saldo com o valor 1532.67,var saldo = 1532.67;
14,crie uma variável chamada aluno com o nome Carla,var aluno = "Carla";
15,defina uma variável chamada cidade com a string Belém,var cidade = "Belém";
16,defina uma variável chamada cor com o valor Azul,var cor = "Azul";
17,crie uma variável letra que armazene A,var letra = 'A';
18,defina uma variável chamada simbolo que armazena @,var simbolo = '@';
19,crie uma variável chamada sigla que armazena o valor SP,var sigla = 'SP';
20,guarde em uma variável chamada jogo o nome Xadrez,var jogo = "Xadrez";
21,crie uma variável chamada lampadaLigada com o valor verdadeiro,var lampadaLigada = verdadeiro;
22,defina uma variável chamada usuarioAtivo com o valor falso,var usuarioAtivo = falso;
23,guarde o valor falso em uma variável chamada portaAberta,var portaAberta = falso;
24,crie uma variável chamada compraPaga com o valor verdadeiro,var compraPaga = verdadeiro;
25,defina uma variável chamada aprovado com o valor verdadeiro,var aprovado = verdadeiro;
26,some o valor 20 e 25 e armazene na variavel idade,var idade = 20 + 25;
27,armazene na variável total a soma de 12.5 mais 8.9,var total = 12.5 + 8.9;
28,subtraia 32 de 28 e armazene o resultado na variável temperatura,var temperatura = 32 - 28;
29,guarde a diferença de 2 e 5 na variável diferença,var diferenca = 2 - 5;
30,multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em Carga Horária,var carga_horaria = 8 * 20;
31,armazene o resultado da multiplicação de 7 e 6 na variável resultado,var resultado = 7 * 6;
32,armazene na variável media a média entre 7.5 e 8.0,var media = (7.5 + 8.0)/2;
33,calcule o quadrado de 5 e armazene na variável quadrado,var quadrado = 5**2;
34,armazene o cubo de 3 na variável cubo,var cubo = 3**3;
35,some os números 10 20 e 30 e armazene na variável total,var total = 10 + 20 + 30;
36,crie uma condição que verifique se a variável x é maior que vinte e incremente a variável contador em um,se(x > 20){contador = contador + 1;}
37,crie uma condição que verifique se a variável idade é menor que 18 e atribua o texto menor de idade para a variável status,se(idade < 18){status = "Menor de Idade";}
38,crie uma condição que verifique se a variável saldo é igual a zero e imprima a mensagem Conta zerada,se(saldo == 0){escreva("Conta Zerada");}
39,crie uma condição que verifique se a variável temperatura é maior que 30 e defina a variável clima como quente,se(temperatura > 30){clima = "quente";}
40,crie uma condição que verifique se a variável numero é par e some 1 à variável pares,se((numero % 2) == 0){pares = pares + 1;}
