id_audio,texto_transcrito,tempo_segundos
1,Crie uma variável chamada prateleiras com valor seis,7.5521
2,Defina uma variável chamada idade mínima com valor 16,6.4447
3,Guarde em uma variável chamada passageiros voo o valor 180,6.2753
4,Guarde em uma variável chamada páginas livro o valor 320,5.4843
5,Crie uma variável chamada vagas que armazena o valor 25,6.1724
6,Defina uma variável chamada graus,6.2582
7,Crie uma variável chamada idade cachorro,6.2708
8,Defina uma variável chamada mesas com valor 28,5.6409
9,Guarde o valor 45 na variável casas,6.5575
10,Crie uma variável chamada dias férias com valor 15,6.4733
11,Crie uma variável chamada altura para armazenar o valor 1.75,7.1626
12,Defina uma variável chamada preço pizza com o valor 39.90,6.3641
13,Crie uma variável chamada saldo com o valor 1.532.67,6.6733
14,Crie uma variável chamada aluno com o nome Carla,6.1593
15,Defina uma variável chamada cidade com a string Belém,6.4555
16,Defina uma variável chamada cor com o valor azul,5.5534
17,Cria uma variável letra que armazene a,5.4758
18,Defina uma variável chamada símbolo que armazena arroba,6.7485
19,Crie uma variável chamada sigla que armazena o valor SP,6.0211
20,Guardem em uma variável chamada jogo o nome xadrez,5.077
21,Crie uma variável chamada lâmpada ligada com o valor verdadeiro,7.1432
22,Defina uma variável chamada usuário ativo com o valor falso,6.5591
23,Guarde o valor falso em uma variável chamada porta aberta,7.0002
24,Crie uma variável chamada compra paga com valor verdadeiro,5.6106
25,Defina uma variável chamada aprovado com o valor verdadeiro,6.1108
26,Some o valor 20 e 25 e armazene na variável idade,6.1622
27,Armazene na variável total a soma de 12.5 mais 8.9,5.2058
28,Subtraia 32 de 28 e armazene o resultado na variável temperatura,5.6091
29,Guarde a diferença de 5 e 2 na variável diferença,6.0023
30,Multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em carga horária,5.5814
31,Armazene o resultado da multiplicação de sete e seis na variável resultado,7.6251
32,Armazene na variável média a média entre 7.5 e 8.0,6.385
33,Calcule o quadrado de cinco e armazene na variável quadrado,7.4774
34,Armazene o cubo de três na variável cubo,5.7195
35,Some os números 10 20 e 30 e armazene na variável total,5.8712
36,Crie uma condição que verifique se a variável x é maior que 20 e incremente a variável contador em um,6.5517
37,Crie uma condição que verifique se a variável idade é menor que 18 e atribua o texto menor de idade para a variável status,5.8812
38,Crie uma condição que verifique se a variável saldo é igual a zero e imprima a mensagem conta zerada,7.6108
39,Crie uma condição que verifique se a variável temperatura é maior que 30 e defina a variável clima como quente,6.8742
40,Cria uma condição que verifique se a variável número é par e some um a variável pares,6.2642
41,Crie uma condição que verifique se a string casa é igual a moradia e defina a variável sinônimos como verdadeira,6.6106
42,Crie uma condição que verifique se a string senha é igual a 1 2 3 4 e incremente a variável acessos,6.539
