id_audio,texto_transcrito,tempo_segundos
1,Cria uma variável chamada Pratileiras com valor 6,2.8877
2,Defina uma variável chamada idade mínima com valor 16,2.6968
3,Guarde em uma variável chamada Passageiros voo o valor 180,2.4649
4,Guarde em uma variável chamada Paginas Livro o valor 320,2.7287
5,Cria uma variável chamada vagas que armazê no valor 25,2.6816
6,Defina uma variável chamada Graus,2.2533
7,Cri uma variável chamada idade cachorro,2.679
8,Defina uma variável chamada Mesas com valor 28,2.3322
9,Guarde o valor 45 na variável casas,2.321
10,Cri uma variável chamada dias férias com valor 15,2.5575
11,Cri uma variável chamada altura para armazenar o valor 1.75,3.0239
12,Defina uma variável chamada preço-pizza com o valor 39.90,3.1823
13,Cria uma variável chamada saldo com o valor 1532.67,2.8699
14,Cri uma variável chamada aluno com o nome Carla,3.0286
15,Defina uma variável chamada cidade com a String Belén,3.1853
16,Definam uma variável chamada cor com o valor azul,3.2041
17,Cria uma variável letra que armazene a,2.6734
18,Defina uma variável chamada símbolo que armazena a rouba,3.0156
19,Crio uma variável chamada sigla que armazena o valor SP,3.6805
20,Guarde em uma variável chamada jogo o nome xadrez,3.315
21,Cria uma variável chamada Lâmpada ligada com o valor verdadeiro,3.6264
22,Defina uma variável chamada Usuário Ativo com o valor falso,2.9225
23,Guarde o valor falso em uma variável chamada porta aberta,3.1374
24,Cri uma variável chamada compra paga com o valor verdadeiro,2.9856
25,Defina uma variável chamada aprovado com o valor verdadeiro,3.3149
26,Some o valor 20 e 25 e armazene na variável idade,2.9118
27,Armazene na variável total a soma de 12.5 mais 8.9,3.855
28,Subtraia 32 de 28 e armazene o resultado na variável temperatura,3.4488
29,Guarde a diferença de 5 e 2 na variável diferença,3.0295
30,Multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em cargo horário,3.5758
31,Armazenhe o resultado da multiplicação de 7 e 6 na variável resultado,3.2555
32,Armazene na variável média. A média é entre 7.5 e 8.0,2.8453
33,Calcule o quadrado de 5 e armazene na variável quadrado,2.7243
34,Armazene o cubo de 3 na variável cubo,2.8591
35,Some os números 10 20 e 30 e armazene na variável total,3.8268
36,Cria uma condição que verifique se a variável x é maior que 20 e incremente a variável contador em 1,3.9299
