id_audio,texto_transcrito,tempo_segundos
1,crie uma variável chamada prateleiras com valor 6,4.73
2,defina uma variável chamada idade mínima com valor 16,5.08
3,guarde em uma variável chamada passageiros voo valor 180,5.33
4,guarde em uma variável chamada páginas livro O valor 320,5.50
5,crie uma variável chamada vagas que armazena o valor 25,5.01
6,defina uma variável chamada graus,3.54
7,crie uma variável chamada idade cachorro,3.83
8,defina uma variável chamada mesas com valor 28,4.62
9,guarde o valor 45 na variável casas,4.26
10,crie uma variável chamada Dias férias com valor 15,4.50
11,crie uma variável chamada altura para armazenar o valor 1.75,6.57
12,defina uma variável chamada preço pizza,4.76
13,crie uma variável chamada saldo com o valor 1532.67,7.81
14,saldo com uma variável chamada 31.7,4.73
15,defina uma variável chamada cidade com a string Belém,6.04
16,defina uma variável chamada cor com o valor azul,5.57
17,crie uma variável letra que armazene a,4.22
18,defina uma variável chamada símbolo que armazena arroba,5.37
19,crie uma variável chamada sigla que armazena o valor SP,6.24
20,guarde em uma variável chamada jogo o nome xadrez,4.99
21,crie uma variável chamada lâmpada ligada com o valor verdadeiro,6.04
22,defina uma variável chamada usuário ativo com o valor falso,6.47
23,guarde o valor falso em uma variável chamada porta aberta,5.87
24,crie uma variável chamada compra paga com o valor verdadeiro,6.30
25,defina uma variável chamada aprovado com o valor verdadeiro,7.13
26,some o valor 20 e 25 e armazene na variável idade,6.20
27,armazém na variável Total a soma de 12.5 + 8.9,8.13
28,subtraia 32 de 28 e armazene o resultado na variável temperatura,7.49
29,Guarde a diferença de 5 e 2 na variável diferença,5.72
30,multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em carga horária,7.10
31,Armazém o resultado da multiplicação de 7 e 6 na variável resultado,6.42
32,armazém na variável Média a média entre 7.5 e 8.0,6.82
33,calcule o quadrado de 5 e armazene na variável quadrado,5.49
34,Armazém o cubo de 3 na variável cubo,4.45
35,some os números 10 20 e 30 e armazém na variável total,7.23
36,crie uma condição que verifique se a variável X é maior que 20 e incremente a variável contador em um,9.86
37,crie uma condição que verifique se a variável idade é menor que 18 e atribua o texto menor de idade para variável status,10.75
38,crie uma condição que verifique se a variável saldo é igual a zero e Imprima a mensagem conta zerada,9.48
39,crie uma condição que verifique se a variável temperatura é maior que 30 e defina a variável clima como quente,10.04
40,crie uma condição que verifique se a variável número é par e some 1 a variável pares,6.36
41,crie uma condição que verifique se a string casa é igual a moradia e defina a variável sinônimos como verdadeira,9.48
