id_audio,texto_transcrito,tempo_segundos
1,criei uma variável chamada prateleiras com o valor 6,3.847
2,Defina uma variável chamada idade mínima com o valor 16,2.5567
3,Guarde em uma variável chamada passageiros de voo o valor 180,5.7382
4,Guarde em uma variável chamada Páginas Livro o valor 320,4.0038
5,Crie uma variável chamada vagas que armazena o valor 25,2.5923
6,Defina uma variável chamada graus,2.0533
7,Crie uma variável chamada idadeCachorro,4.0624
8,Defina uma variável chamada mesas com o valor 28,2.4858
9,Guarde o valor 45 na variável casas,4.108
10,Crie uma variável chamada dias férias com valor 15,2.5125
11,crie uma variável chamada altura para armazenar o valor 1.75,2.7422
12,Defina uma variável chamada preço pizza com o valor 39.90,5.0889
13,Crie uma variável chamada saldo com o valor 1532.67,5.5385
14,Crie uma variável chamada aluno com o nome Carla,2.3362
15,defina uma variável chamada cidade com a string belém,2.5761
16,Defina uma variável chamada cor com valor azul,2.6873
17,Crie uma variável letra que armazenhar,3.5378
18,Defina uma variável chamada símbolo que armazena arroba,3.6593
19,Crie uma variável chamada sigla que armazene o valor sp,4.4444
20,Guarde em uma variável chamado jogo o nome xadrez,2.8036
21,Crie uma variável chamada lâmpada ligada com o valor verdadeiro,4.9294
22,Defina uma variável chamada usuário ativo com valor falso,2.6307
23,Guarde o valor falso em uma variável chamada porta aberta,2.8173
24,Crie uma variável chamada compraPaga com o valor verdadeiro,4.7958
25,Defina uma variável chamada aprovado com o valor verdadeiro,3.9545
26,Some o valor 20 e 25 e armazena a variável idade,3.4195
27,Armazém inavariável total a soma de 12.5 mais 8.9,3.8706
28,Subtraia 32 de 28 e armazenhe o resultado na variável temperatura,4.058
29,Guarde a diferença de 2 e 5 no variável diferença,2.9592
30,Multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em carga horária,4.5138
31,Armazena o resultado da multiplicação de 7 e 6 na variável resultado,4.256
32,Armazene na variável média a média entre 7.5 e 8,3.5459
33,Calcule o quadrado de 5 e armazenhe na variável quadrado,6.8589
34,Armazenhe o cubo de 3 na variável cubo,2.3793
35,Some os números 10 20 30 e armazene na variável total,3.7332
