id_audio,texto_transcrito,tempo_segundos
1,Crie uma variável chamada prateleiras com o valor 6,12.5119
2,Defina uma variável chamada idade mínima com o valor 16,12.0868
3,Guarde em uma variável chamada passageiros de voo o valor 180,12.6116
4,Guarde em uma variável chamada páginas livro o valor 320,12.378
5,Crie uma variável chamada vagas que armazena o valor 25,12.5755
6,Defina uma variável chamada graus,12.5842
7,Crie uma variável chamada idade cachorro,13.5602
8,Defina uma variável chamada mesas com o valor 28,15.4995
9,Guarde o valor 45 na variável casas,13.8376
10,Crie uma variável chamada diasFérias com valor 15,12.2384
11,Crie uma variável chamada altura para armazenar o valor 1.75,15.8199
12,Defina uma variável chamada preço pizza com o valor 39.90,16.6694
13,Crie uma variável chamada saldo com o valor 1532.67,16.827
14,Crie uma variável chamada aluno com o nome Carla,11.8027
15,Defina uma variável chamada cidade com a string belém,12.2074
16,Defina uma variável chamada cor com valor azul,14.1255
17,Crie uma variável letra que armazenar,15.3381
18,Defina uma variável chamada símbolo que armazena a arroba,14.2055
19,Crie uma variável chamada sigla que armazena o valor SP,15.9134
20,Guarde em uma variável chamado jogo o nome xadrez,12.1477
21,Crie uma variável chamada lâmpada ligada com o valor verdadeiro,12.7108
22,Defina uma variável chamada usuário ativo com valor falso,13.1549
23,Guarde o valor falso em uma variável chamada porta aberta,15.548
24,Crie uma variável chamada compra paga com o valor verdadeiro,12.4354
25,Defina uma variável chamada aprovado com o valor verdadeiro,12.7325
26,Some o valor 20 e 25 e armazenem na variável idade,13.3598
27,Armazenhe na variável total a soma de 12.5 mais 8.9,13.0725
28,Subtraia 32 de 28 e armazene o resultado na variável temperatura,13.725
29,Guarde a diferença de 2 e 5 na variável diferença,15.5779
30,Multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em carga horária,17.6588
31,Armazeno o resultado da multiplicação de 7 e 6 na variável resultado,16.3707
32,Armazene na variável média a média entre 7.5 e 8,12.469
33,Calcule o quadrado de 5 e armazene na variável quadrado,12.9202
34,Armazene o cubo de 3 na variável cubo,15.9165
35,Some os números 10 20 30 e armazene na variável total,16.7811
36,Crie uma condição que verifique se a variável x é maior que 20 e incremente a variável contador em 1,15.8838
37,Crie uma condição que verifique se a variável idade é menor que 18 e atribua o texto menor de idade para a variável status,15.7234
