id_audio,texto_transcrito,tempo_segundos
1,Crie uma variável chamada prateleiras com valor 6,3.5529
2,Defina uma variável chamada idade mínima com valor 16,3.0907
3,Guarde em uma variável chamada PassageirosVoo o valor 180,2.3392
4,Guarde em uma variável chamada Páginas Livro o valor 320,2.0263
5,Crie uma variável chamada vagas que armazena o valor 25,2.6022
6,defina uma variável chamada graus,1.634
7,Crie uma variável chamada idadeCachorro,1.4067
8,Defina uma variável chamada mesas com valor 28,1.8823
9,Guarde o valor 45 na variável casas,1.3974
10,Crie uma variável chamada dias-férias com valor 15,2.7977
11,Crie uma variável chamada altura para armazenar o valor 1.75,1.3905
12,Defina uma variável chamada preço pizza com o valor 39.90,2.2558
13,Crie uma variável chamada saldo com o valor 1532.67,1.7561
14,Crie uma variável chamada aluno com o nome Carla,2.1001
15,Defina uma variável chamada cidade com a string Belém,2.2544
16,Defina uma variável chamada cor com o valor azul,1.2902
17,Crie uma variável letra que armazene A,1.1193
18,defina uma variável chamada símbolo que armazena arroba,1.4281
19,crie uma variável chamada sigla que armazena o valor sp,2.3032
20,Guarde em uma variável chamada jogo o nome xadrez,1.7542
21,Crie uma variável chamada lâmpada ligada com o valor verdadeiro,2.2724
22,Defina uma variável chamada usuário ativo com o valor falso,1.402
23,Guarde o valor falso em uma variável chamada porta aberta,2.5944
24,Crie uma variável chamada compraPaga com o valor verdadeiro,1.6066
25,Defina uma variável chamada aprovado com o valor verdadeiro,2.7933
26,Some o valor 20 e 25 e armazene na variável idade,2.5985
27,Armazene na variável Total a soma de 12.5 mais 8.9,7.5519
28,Subtraia 32 de 28 e armazene o resultado na variável temperatura,2.316
29,Guarde a diferença de 5 e 2 na variável diferença,1.6518
30,Multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em cargo horário,1.4486
31,Armazene o resultado da multiplicação de 7 e 6 na variável Resultado,1.7211
32,Armazene na variável Média. A média é entre 7.5 e 8.0,5.2586
33,Calcule o quadrado de 5 e armazene na variável quadrado,1.7808
34,Armazene o cubo de 3 na variável cubo,1.3893
35,Some os números 10 20 e 30 e armazene-o na variável total,1.9052
