id_audio,texto_transcrito,tempo_segundos
1,Cria uma variável chamada Prateleiras com valor 6,0.7478
2,Defina uma variável chamada Edaid Minima Convalor de Zecis,0.5949
3,Guarde em uma variável chamada Passagero Givo o valor 180,0.5323
4,Guardem uma variável chamada páginas livro o valor 320,0.4861
5,Crianho uma variável chamada vagas que armazeno valor 25,0.5264
6,Descina uma variável chamada grauche,0.51
7,Trima variável chamada e da atica chula,0.3955
8,Descindo uma variável chamada Mezas com Valor Vintio 8,0.5014
9,Guarro de valor 45 na variável casa,0.497
10,Criam uma variário chamada dias férias com valor 15,0.5214
11,criou uma variável chamada altura para armazenar o valor 1.75,0.513
12,Defina uma variável chamada preso pizza com o valor 39.90,0.4286
13,Cri uma variável chamada SAUDO ou valor 1532.77,0.5644
14,3 uma variável chamada aluno com um nome cada,0.4579
15,Defina uma variável chamada cidade com a estring de ley,0.5256
16,Defina uma variável chamado cor com valoso,0.4629
17,Cri uma variável letra que armasenha,0.5855
18,Defina uma variável chamada Singolo que armasena a roda,0.5013
19,Criuma variável chamado SIGLA que armazeno valor SCP,0.5012
20,Guarde em uma variável chamado jogo o nome chadres,0.4532
21,Cri uma variável chamada Lampana ligada com valor verdadeiro,0.4908
22,Defindo uma variável chamada os oar ativo com valor fausos,0.5206
23,Guarde valor falso em uma variável chamada porta aberta,0.4446
24,Crima variável chamada Comprepaga com valor verdadeiro,0.4966
25,De fim de uma variável chamada aprovado com valor verdadeiro,0.6258
26,Só me o valor 25 e amazem na variável idade,0.4982
27,A Rozinha na variável total a soma de 12.5 mais 8.9,0.558
28,Subitraia 3228 que a mazenho resultado na variável tem peractura,0.57
29,guarde a diferença de dois e cinco variável diferença,0.4937
30,Dúte clínquia quantidade 8 de horas por 20 dias e armazinho resultado em cargarária,0.6186
31,Armasendo o resultado da multiplicação de 7 e 6 na variável resultando,0.5593
32,Armasem e na variável média a média entre 7.5 8,0.6433
33,Calcula o quadrado de 5 e armazenho na variável quadrado,0.5235
34,Armasenho o cubo de três na variável cubo,0.4872
35,Somos números 10 20 30 e é mais ainda na variável total,0.483
36,Cria uma condição que verifique se a variável e x a maior que 20 e incrementa a variável contador em 1,0.747
37,Criar uma condição que verifique se avariável e dá de menor que 18 e atribou ao texto menor de idade para avariável estados,0.7555
38,Cria uma condição que verifique se avariável saldo é igual a zero e em prima mensagem com a deserada,0.6179
39,Cri uma condição que verifique se a variável temperatura é maior que 30 e defina a variável clima como quente,0.6742
40,Queria uma condição que verifique se avariável número é par e somiam avariável para ir,0.6256
41,Cria uma condição que verifique se a estringue casa é igual a moradia e define a variável sinônimos como verdadeira,0.8126
42,Cri uma condição que verifique se a estringa semia é igual a 1 2 3 4 e incrementa variável acessos,0.6413
43,Cri uma condição que verifique se avariável a altura é maior ou igual a 1.75. Ele define avariável aprovado como verdadeira,0.6828
44,Cree uma condição que verifique se avareável preço é menor que sim e aplique um desconto de 10 na variável preço,0.6077
45,Cri uma condição que verifique se avariável nota é maior ou igual a 6 e a tribua aprovado a avariável situação,0.6758
46,Criam uma condição que veio fixe a variável velocidade é menor que césenta em prima velocidade permitiva,0.5676
47,Cria uma condição que verifique se a variável idade é igual a 30 isso é um avariadade contador,0.5541
48,Queria um bloco senão que escreva com a distalção não satisfeta,0.5407
