id_audio,texto_transcrito,tempo_segundos
1,Crie uma variável chamada prateleiras com valor 6,7.3928
2,Defina uma variável chamada idade mínima com valor 16,6.3776
3,Guarde em uma variável chamada passageiros voo o valor 180,6.6731
4,Guarde em uma variável chamada Páginas Livro o valor 320,6.8555
5,Crie uma variável chamada vagas que armazena o valor 25,6.9043
6,Defina uma variável chamada graus,6.1277
7,Crie uma variável chamada idade cachorro,6.2999
8,Defina uma variável chamada mesas com valor 28,6.3059
9,Guarde o valor 45 na variável casas,7.3669
10,Crie uma variável chamada diasférias com valor 15,7.6886
11,Crie uma variável chamada altura para armazenar o valor 1.75,7.8298
12,Defina uma variável chamada Preço Pizza com o valor 39.90,8.7713
13,Crie uma variável chamada saldo com o valor 1532.67,10.207
14,Crie uma variável chamada aluno com o nome Carla,9.2124
15,Defina uma variável chamada cidade com a string belém,8.0545
16,Defina uma variável chamada cor com o valor azul,7.9899
17,Crie uma variável letra que armazene A,7.5135
18,Defina uma variável chamada símbolo que armazena arroba,7.7668
19,crie uma variável chamada sigla que armazena o valor sp,8.4582
20,Guarde em uma variável chamada jogo o nome xadrez,9.5506
21,Crie uma variável chamada Lâmpada ligada com o valor verdadeiro,7.4996
22,Defina uma variável chamada usuário ativo com o valor falso,8.3277
23,Guarde o valor falso em uma variável chamada porta aberta,8.8997
24,crie uma variável chamada compraPaga com valor verdadeiro,8.0446
25,Defina uma variável chamada aprovado com o valor verdadeiro,7.6202
26,Some o valor 20 e 25 e armazene na variável idade,7.9174
27,Armazene na variável Total a soma de 12.5 mais 8.9,7.3883
28,Subtraia 32 de 28 e armazene o resultado na variável Temperatura,7.148
29,Guarde a diferença de 5 e 2 na variável diferença,7.6483
30,Multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em cargo horário,9.2141
31,Armazenhe o resultado da multiplicação de 7 e 6 na variável resultado,6.889
32,Armazene na variável média a média entre 7.5 e 8.0,8.3489
33,Calcule o quadrado de 5 e armazene na variável quadrado,8.8062
34,Armazene o cubo de 3 na variável cubo,8.9893
35,some os números 10 20 e 30 e armazene-o na variável total,8.8741
36,Crie uma condição que verifique se a variável X é maior que 20 e incremente a variável contador em 1,9.611
37,Crie uma condição que verifique se a variável idade é menor que 18 e atribua o texto Menor de Idade para a variável status,9.9505
38,Crie uma condição que verifique se a variável saldo é igual a zero e imprima a mensagem. Conta zerada,8.3345
39,Crie uma condição que verifique se a variável Temperatura é maior que 30 e defina a variável Clima como Quente,7.8411
40,Crie uma condição que verifique se a variável número é par e some 1 à variável pares,7.0369
41,Crie uma condição que verifique se a string casa é igual a moradia e defina a variável sinônimos como verdadeira,8.0464
42,Crie uma condição que verifique se a string senha é igual a 1234 e incremente a variável acessos,7.8588
43,Crie uma condição que verifique se a variável Altura é maior ou igual a 1.75 e defina a variável Aprovado como verdadeira,8.5764
44,Crie uma condição que verifique se o preço é menor que 100 e aplique um desconto de 10 na variável preço,8.9259
45,crie uma condição que verifique se a variável nota é maior ou igual a 6 e atribua aprovado à variável situação,8.5975
46,Crie uma condição que verifique se a variável Velocidade é menor que 60 e imprima Velocidade permitida,8.916
47,Crie uma condição que verifique se a variável idade é igual a 30 e some 1 à variável contador,9.8146
48,Crie um bloco senão que escreva condição não satisfeita,6.8415
49,Crie um bloco se não que escreva Limite excedido,6.5631
