id_audio,texto_transcrito,tempo_segundos
1,Crie uma variável chamada prateleiras com o valor 6,10.0864
2,Defina uma variável chamada idade mínima com valor 16,9.4851
3,Guarde em uma variável chamada Passageiros-Voo o valor 180,9.2942
4,Guarde em uma variável chamada páginas-livro o valor 320,9.8815
5,Crie uma variável chamada vagas que armazena o valor 25,12.9297
6,Defina uma variável chamada graus,9.7967
7,Crie uma variável chamada idade cachorro,10.349
8,Defina uma variável chamada mesas com valor 28,9.1874
9,Guarde o valor 45 na variável casas,10.408
10,Crie uma variável chamada dias férias com valor 15,10.1073
11,Crie uma variável chamada altura para armazenar o valor 1.75,9.3006
12,Defina uma variável chamada preço pizza com o valor R$ 39.90,9.3174
13,Crie uma variável chamada saldo com o valor 1532.67,11.1378
14,Crie uma variável chamada aluno com o nome Carla,10.4737
15,Defina uma variável chamada cidade com a string Belém,9.4349
16,Defina uma variável chamada cor com o valor azul,12.3888
17,Crie uma variável letra que armazene a,11.2809
18,Defina uma variável chamada símbolo que armazena arroba,10.5535
19,Crie uma variável chamada sigla que armazena o valor sp,12.1895
20,guarde em uma variável chamada jogo o nome xadrez,9.7737
21,Crie uma variável chamada lâmpada ligada com o valor verdadeiro,11.7244
22,Defina uma variável chamada usuário ativo com o valor falso,9.5917
23,Guarde o valor falso em uma variável chamada porta aberta,9.3283
24,Crie uma variável chamada compra paga com o valor verdadeiro,13.2503
25,Defina uma variável chamada aprovado com o valor verdadeiro,9.3491
26,Some o valor 20 e 25 e armazene na variável idade,9.6062
27,Armazene na variável total a soma de 12.5 mais 8.9,9.5634
28,Subtraia 32 de 28 e armazene o resultado na variável temperatura,10.4908
29,Guarde a diferença de 5 e 2 na variável diferença,15.1504
30,Multiplique a quantidade 8 de horas por 20 dias e armazene o resultado em carga horária,13.0917
31,Armazene o resultado da multiplicação de 7 e 6 na variável resultado,12.9774
32,Armazene na variável média a média entre 7.5 e 8.0,12.1771
33,Calcule o quadrado de 5 e armazene na variável quadrado,12.4309
34,Armazene o cubo de 3 na variável cubo,13.7891
35,Some os números 10 20 e 30 e armazene na variável total,15.6205
36,Crie uma condição que verifique se a variável x é maior que 20 e incremente a variável contador em 1,13.6359
37,Crie uma condição que verifique se a variável idade é menor que 18 e atribua o texto menor de idade para a variável status,16.5976
38,Crie uma condição que verifique se a variável saldo é igual a zero e imprima a mensagem Conta zerada,16.0834
39,Crie uma condição que verifique se a variável temperatura é maior que 30 e defina a variável clima como quente,15.6788
40,Crie uma condição que verifique se a variável número é par e some 1 à variável pares,12.8597
41,Crie uma condição que verifique se a string casa é igual à moradia e defina a variável sinônimos como verdadeira,13.5578
42,Crie uma condição que verifique se a string senha é igual a 1234 e incremente a variável acessos,12.7519
43,Crie uma condição que verifique se a variável altura é maior ou igual a 1.75 e defina a variável aprovado como verdadeira,14.0631
44,Crie uma condição que verifique se o preço é menor que 100 e aplique um desconto de 10 na variável preço,12.7937
45,Crie uma condição que verifique se a variável nota é maior ou igual a 6 e atribua aprovado à variável situação,14.1875
46,Crie uma condição que verifique se a variável velocidade é menor que 60 e imprima velocidade permitida,13.6106
47,Crie uma condição que verifique se a variável idade é igual a 30 e some 1 à variável contador,12.1826
48,Crie um bloco senão que escreva condição não satisfeita,21.8793
49,Crie um bloco Senão que escreva Limite excedido,14.2686
